sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AZD-1480 300nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-11.884743406797561,-5.049330420909461
_dyn_#AZD-1480 30nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-17.24272551417549,-1.7139833045859225
_dyn_#AZD-1480 3nM.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-19.66600289830894,-0.31534081032528866
_dyn_#AZD-1480 DMSO.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,9.506123598439887,-22.895821978143356
_dyn_#AZD-1480 PDPD.Tech replicate 1 of 1,dyn,AZD-1480,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,11.434640928462645,-14.77768043166557
_dyn_#AZD-2014 1000nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-0.10776647279611776,-17.6335428626804
_dyn_#AZD-2014 100nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-7.925276738584017,-12.205391604973926
_dyn_#AZD-2014 10nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,2.5031233722528197,-20.613266338153334
_dyn_#AZD-2014 30000nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,8.935209670925625,-21.70817136573578
_dyn_#AZD-2014 3000nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-88.7138009872298,39.70321332025127
_dyn_#AZD-2014 300nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-6.820695378292667,-12.02417844763992
_dyn_#AZD-2014 30nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-11.837516413810809,-9.691305319051263
_dyn_#AZD-2014 3nM.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,13.340513797964196,-28.920739674989044
_dyn_#AZD-2014 DMSO.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-15.598656196252916,-10.024918048490113
_dyn_#AZD-2014 PDPD.Tech replicate 1 of 1,dyn,AZD-2014,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,49.38577877852566,-57.86608272313973
_dyn_#AZD-4547 1000nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,51.87880429048403,-40.85370899265837
_dyn_#AZD-4547 100nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,22.6628522449081,-26.373008957427498
_dyn_#AZD-4547 10nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,37.66150959040184,-35.11254457754967
_dyn_#AZD-4547 30000nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-1.8518249126375954,-13.585989764236045
_dyn_#AZD-4547 3000nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,29.387946257489304,-29.17705633271271
_dyn_#AZD-4547 300nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,25.772006143084134,-27.229600155583487
_dyn_#AZD-4547 30nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,11.020850839497927,-19.810885750157922
_dyn_#AZD-4547 3nM.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,22.825513102988843,-26.20420837811657
_dyn_#AZD-4547 DMSO.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-13.916389066808259,-8.43583737584062
_dyn_#AZD-4547 PDPD.Tech replicate 1 of 1,dyn,AZD-4547,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,53.85382791249877,-39.41021877431999
_dyn_#AZD-5363 1000nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,5.949987517211431,-11.284118558162078
_dyn_#AZD-5363 100nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-16.80034783268549,-4.858984189489688
_dyn_#AZD-5363 10nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,0.9165571389889067,-10.97910200051946
_dyn_#AZD-5363 30000nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,22.573800403882817,-20.332298272004202
_dyn_#AZD-5363 3000nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,22.72851940633065,-20.690662312976716
_dyn_#AZD-5363 300nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-12.836410876873378,-4.746615806646925
_dyn_#AZD-5363 30nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-18.503056619815272,-5.7428445650932725
_dyn_#AZD-5363 3nM.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,10.370531898684712,-13.273076601909992
_dyn_#AZD-5363 DMSO.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-14.014833794502097,-5.127618918026524
_dyn_#AZD-5363 PDPD.Tech replicate 1 of 1,dyn,AZD-5363,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,10.543793231539519,-12.977133341575833
_dyn_#AZD-5438 1000nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-38.81891558245195,6.3457004350129464
_dyn_#AZD-5438 100nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-10.571131565540925,-2.6298981604245038
_dyn_#AZD-5438 10nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-47.85260368475494,15.092856954424992
_dyn_#AZD-5438 30000nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-20.734757418337907,-1.923509429994399
_dyn_#AZD-5438 3000nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-19.79459190542195,-3.426048357872597
_dyn_#AZD-5438 300nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-38.87665571599674,5.9260220259775185
_dyn_#AZD-5438 30nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-10.679597277804149,-2.651954244348242
_dyn_#AZD-5438 3nM.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-11.35366346447119,-2.3709507833992163
_dyn_#AZD-5438 DMSO.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-38.00997447420838,5.380527717421077
_dyn_#AZD-5438 PDPD.Tech replicate 1 of 1,dyn,AZD-5438,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-29.06602237447742,5.385784465470872
_dyn_#AZD-6482 1000nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,38.31573917117906,-30.368277929252546
_dyn_#AZD-6482 100nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,26.422810875027437,-21.902093570142235
_dyn_#AZD-6482 10nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,40.91131161893808,-33.69670774984322
_dyn_#AZD-6482 30000nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,39.375889752748094,-29.64577229935836
_dyn_#AZD-6482 3000nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,47.304775131560575,-34.29235028221899
_dyn_#AZD-6482 300nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,44.60595277549545,-34.06429710909697
_dyn_#AZD-6482 30nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,40.951285954597715,-33.043424072107214
_dyn_#AZD-6482 3nM.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,41.98145229742003,-35.199326842741755
_dyn_#AZD-6482 DMSO.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,16.383009540162853,-18.762919708466974
_dyn_#AZD-6482 PDPD.Tech replicate 1 of 1,dyn,AZD-6482,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,3.141869882389502,-7.569131202509126
_dyn_#AZD-7762 1000nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-38.084303391642464,9.427715529269111
_dyn_#AZD-7762 100nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-30.474264188444558,5.475701034200094
_dyn_#AZD-7762 10nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-34.48738151808786,7.8139230222538
_dyn_#AZD-7762 30000nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-45.10740559863044,13.755169283512878
_dyn_#AZD-7762 3000nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-35.023059701491384,8.405272066090172
_dyn_#AZD-7762 300nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-36.67098818586135,9.304032629205151
_dyn_#AZD-7762 30nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-38.42957866522003,9.312078550938125
_dyn_#AZD-7762 3nM.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-30.398235150440424,5.800297217517162
_dyn_#AZD-7762 DMSO.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-29.219588923540492,4.610200307992697
_dyn_#AZD-7762 PDPD.Tech replicate 1 of 1,dyn,AZD-7762,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-25.38149552993699,0.4387648106043885
_dyn_#AZD-8055 1000nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,19.53513021524457,-25.17944446119288
_dyn_#AZD-8055 100nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,17.987329006222872,-21.69471705289425
_dyn_#AZD-8055 10nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-3.8412177417829687,-9.821151913835026
_dyn_#AZD-8055 30000nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,24.451063237657685,-24.2792667079599
_dyn_#AZD-8055 3000nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,36.18905209262473,-30.658861455808285
_dyn_#AZD-8055 300nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,20.65145604510658,-25.653132153552477
_dyn_#AZD-8055 30nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-2.57703820816919,-11.99020180360877
_dyn_#AZD-8055 3nM.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,8.394460888368574,-17.05978504038682
_dyn_#AZD-8055 DMSO.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,14.880487720521515,-20.796525756058987
_dyn_#AZD-8055 PDPD.Tech replicate 1 of 1,dyn,AZD-8055,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-9.181112755046774,-5.197792107587834
_dyn_#AZD-8186 1000nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-4.861677536822542,-7.072476656212139
_dyn_#AZD-8186 100nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,1.951467384806948,-10.05305086567861
_dyn_#AZD-8186 10nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,14.52961827715117,-12.25604234511178
_dyn_#AZD-8186 30000nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-15.275233528935713,-2.62156313415515
_dyn_#AZD-8186 3000nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,4.182421998707598,-9.21494394025218
_dyn_#AZD-8186 300nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,9.25837538537879,-12.350502673369839
_dyn_#AZD-8186 30nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,4.003660090322421,-8.275095946028335
_dyn_#AZD-8186 3nM.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,1.4862524174803236,-7.400127443192501
_dyn_#AZD-8186 DMSO.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,6.518535463464016,-9.290991453369871
_dyn_#AZD-8186 PDPD.Tech replicate 1 of 1,dyn,AZD-8186,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-19.029439284713078,-1.3606819761941757
_dyn_#AZD-8330 1000nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-12.697497017294056,-5.18160447451339
_dyn_#AZD-8330 100nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-15.257261912833519,-3.8612858991777403
_dyn_#AZD-8330 10nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-23.204863824818226,1.1719881410251831
_dyn_#AZD-8330 30000nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-4.649741241132646,-11.315478235703573
_dyn_#AZD-8330 3000nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-25.58025661947439,1.5700870512389105
_dyn_#AZD-8330 300nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-22.21465762616027,-0.8624531667513017
_dyn_#AZD-8330 30nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-20.291035438701268,-0.46545268810890117
_dyn_#AZD-8330 3nM.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-20.78982672444484,-0.1662359027933987
_dyn_#AZD-8330 DMSO.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-5.399116059014857,-9.643010556183356
_dyn_#AZD-8330 PDPD.Tech replicate 1 of 1,dyn,AZD-8330,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-7.63891038492082,-15.989161518279658
_dyn_#Abemaciclib 1000nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-7.708213629991772,-5.19576309292039
_dyn_#Abemaciclib 100nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-5.357820163652499,-7.511144543476893
_dyn_#Abemaciclib 10nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-9.960387688244746,-5.346951858257271
_dyn_#Abemaciclib 30000nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-9.580147056659944,-7.057759296529602
_dyn_#Abemaciclib 3000nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-20.386800277911963,-1.1984237097589632
_dyn_#Abemaciclib 300nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-15.414574363132582,-2.550606458759138
_dyn_#Abemaciclib 30nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-7.556697371447305,-6.018465393605747
_dyn_#Abemaciclib 3nM.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-9.825576785960804,-4.7571587043140875
_dyn_#Abemaciclib DMSO.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-24.984086971269814,1.9423471813780557
_dyn_#Abemaciclib PDPD.Tech replicate 1 of 1,dyn,Abemaciclib,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-19.8866749842079,1.2369215056124503
_dyn_#Afatinib 1000nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-54.05094646601252,15.027188044715915
_dyn_#Afatinib 100nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-53.62509726204049,13.64006838604633
_dyn_#Afatinib 10nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-60.38606372067677,21.034183098792496
_dyn_#Afatinib 30000nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-56.486455321074104,17.780872196454105
_dyn_#Afatinib 3000nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-52.03798312757141,13.657242209736042
_dyn_#Afatinib 300nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-46.46788741514545,12.740244156833644
_dyn_#Afatinib 30nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-48.949348036901895,11.674529877718747
_dyn_#Afatinib 3nM.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-32.300890974002385,6.655971235292762
_dyn_#Afatinib DMSO.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-49.997263938036554,14.298966778607323
_dyn_#Afatinib PDPD.Tech replicate 1 of 1,dyn,Afatinib,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-70.54726156158566,26.544322927324334
_dyn_#Afatinib_inBT474 1000nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,1000.0,Tech replicate 1 of 1,True,120.15557661601025,59.214688966975714
_dyn_#Afatinib_inBT474 100nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,100.0,Tech replicate 1 of 1,True,115.45457010288347,57.51885666112194
_dyn_#Afatinib_inBT474 10nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,10.0,Tech replicate 1 of 1,True,116.31624779027335,58.41404631394676
_dyn_#Afatinib_inBT474 30000nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,30000.0,Tech replicate 1 of 1,True,111.01652963063599,54.97392907988322
_dyn_#Afatinib_inBT474 3000nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,3000.0,Tech replicate 1 of 1,True,107.9538307561295,52.06783209774795
_dyn_#Afatinib_inBT474 300nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,300.0,Tech replicate 1 of 1,True,98.9120275809504,50.49297418161306
_dyn_#Afatinib_inBT474 30nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,30.0,Tech replicate 1 of 1,True,109.73626618461877,55.163998001190514
_dyn_#Afatinib_inBT474 3nM.Tech replicate 1 of 1,dyn,Afatinib,BT474,treatment,3.0,Tech replicate 1 of 1,True,113.17096212083332,57.901624525528426
_dyn_#Afatinib_inBT474 DMSO.Tech replicate 1 of 1,dyn,Afatinib,BT474,dmso,0.0,Tech replicate 1 of 1,True,107.20674202826311,55.34982652582087
_dyn_#Afatinib_inBT474 PDPD.Tech replicate 1 of 1,dyn,Afatinib,BT474,pdpd,0.0,Tech replicate 1 of 1,True,70.64873387219306,34.82191969834511
_dyn_#Alectinib 1000nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,19.220350497694376,-21.314296905173773
_dyn_#Alectinib 100nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,81.89326258348575,-55.69818553114146
_dyn_#Alectinib 10nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,79.4745083861366,-53.089661388705494
_dyn_#Alectinib 30000nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,12.52405769075232,-25.32857152778879
_dyn_#Alectinib 3000nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,19.17861719753066,-21.283927155462273
_dyn_#Alectinib 300nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,109.4664341764771,-69.96056138402245
_dyn_#Alectinib 30nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,86.7056313098167,-59.54802707526508
_dyn_#Alectinib 3nM.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,71.203249999025,-52.485324902844695
_dyn_#Alectinib DMSO.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,46.21807950278096,-37.143188165715095
_dyn_#Alectinib PDPD.Tech replicate 1 of 1,dyn,Alectinib,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,21.929694538991487,-27.229530738745815
_dyn_#Alisertib 1000nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-37.39500405827421,3.721982946212916
_dyn_#Alisertib 100nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-22.21316592906289,-3.91005081128167
_dyn_#Alisertib 10nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-41.62132631310879,6.211945260456682
_dyn_#Alisertib 30000nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-47.767452615756405,12.154420271017232
_dyn_#Alisertib 3000nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-50.968604826605855,11.329136651651304
_dyn_#Alisertib 300nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-16.889745404816466,-5.9380940015697545
_dyn_#Alisertib 30nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-20.700351917735865,-6.7420966154337165
_dyn_#Alisertib 3nM.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-24.49280188217525,-3.1041528481173772
_dyn_#Alisertib DMSO.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-21.50968265012473,-5.256341232931181
_dyn_#Alisertib PDPD.Tech replicate 1 of 1,dyn,Alisertib,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-33.53362196451666,2.148259054974961
_dyn_#Alvocidib 1000nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-29.324067507970277,2.610572996180098
_dyn_#Alvocidib 100nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-22.331239579746875,0.17455386585956983
_dyn_#Alvocidib 10nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-17.930640017848205,-1.752681594556487
_dyn_#Alvocidib 30000nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-25.14613395670083,1.3815946200553195
_dyn_#Alvocidib 3000nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-19.141021668524495,-1.350753225180771
_dyn_#Alvocidib 300nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-20.50489590013053,-1.428731873594131
_dyn_#Alvocidib 30nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-23.746582702915795,1.3682873229955403
_dyn_#Alvocidib 3nM.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-16.33377421787051,-1.3680390979729198
_dyn_#Alvocidib DMSO.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-22.36720341917603,-0.11039452265792554
_dyn_#Alvocidib PDPD.Tech replicate 1 of 1,dyn,Alvocidib,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-46.53964849516823,10.586834382237395
_dyn_#Amuvatinib 1000nM.Tech replicate 1 of 1,dyn,Amuvatinib,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-49.75809506033233,13.384012830348397
_dyn_#Amuvatinib 100nM.Tech replicate 1 of 1,dyn,Amuvatinib,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-42.34395425591964,9.40580377993621
_dyn_#Amuvatinib 10nM.Tech replicate 1 of 1,dyn,Amuvatinib,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-24.53507603624049,-4.745169066033106
