sample_column,measurement_type,drug,cell_line,condition_type,concentration_nM,replicate,parse_ok,PC1,PC2
_dyn_#AMG-208_withCAKI 100nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-27.25816748311015,1.688500057968474
_dyn_#AMG-208_withCAKI 10nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-35.71688535129144,3.458848353676326
_dyn_#AMG-208_withCAKI 30000nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-6.799045304522547,-3.5911010770162126
_dyn_#AMG-208_withCAKI 3000nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-11.81384200139007,-2.180845832690482
_dyn_#AMG-208_withCAKI 300nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-20.68717145060219,-0.5056381739771828
_dyn_#AMG-208_withCAKI 30nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-37.825030536355946,4.147620851695319
_dyn_#AMG-208_withCAKI 3nM.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-9.779412546726684,-5.436662187664705
_dyn_#AMG-208_withCAKI DMSO.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-17.273400883427396,-2.8985451972351446
_dyn_#AMG-208_withCAKI PDPD.Tech replicate 1 of 1,dyn,AMG-208_withCAKI,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,28.977655926001834,-33.15125430375714
_dyn_#AMG-900 1000nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-8.429070975199947,-3.1275633065445936
_dyn_#AMG-900 100nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-97.6035781418684,48.889682436168016
_dyn_#AMG-900 10nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,-96.17106081057676,48.02584146420756
_dyn_#AMG-900 30000nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,-80.8439925244192,39.04362485548051
_dyn_#AMG-900 3000nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-96.08348628769998,47.77225042256067
_dyn_#AMG-900 300nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-69.69724645010201,32.50796516048015
_dyn_#AMG-900 30nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,-96.52378957414604,48.54426476711541
_dyn_#AMG-900 3nM.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,-89.87567097489098,45.05688696868272
_dyn_#AMG-900 DMSO.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,-83.0330519917103,40.094303533083924
_dyn_#AMG-900 PDPD.Tech replicate 1 of 1,dyn,AMG-900,not_encoded,pdpd,0.0,Tech replicate 1 of 1,True,-102.24488215931828,50.91305554875245
_dyn_#ARRY-380 1000nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,1000.0,Tech replicate 1 of 1,True,-1.4782984164562418,-8.7457990265273
_dyn_#ARRY-380 100nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,100.0,Tech replicate 1 of 1,True,-6.052344382321198,-7.264677200139017
_dyn_#ARRY-380 10nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,10.0,Tech replicate 1 of 1,True,12.318527645560366,-12.908487540061905
_dyn_#ARRY-380 30000nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,30000.0,Tech replicate 1 of 1,True,22.78822466875605,-17.57722041307174
_dyn_#ARRY-380 3000nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,3000.0,Tech replicate 1 of 1,True,-17.900755329267056,-4.762591929852616
_dyn_#ARRY-380 300nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,300.0,Tech replicate 1 of 1,True,-12.180682541321593,-4.915424049060563
_dyn_#ARRY-380 30nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,30.0,Tech replicate 1 of 1,True,48.238982121678,-23.573854432999212
_dyn_#ARRY-380 3nM.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,treatment,3.0,Tech replicate 1 of 1,True,38.385544138413024,-21.73625957532316
_dyn_#ARRY-380 DMSO.Tech replicate 1 of 1,dyn,ARRY-380,not_encoded,dmso,0.0,Tech replicate 1 of 1,True,15.63607740113993,-14.15163623201291
